label	group	en	uk
spam	finance	Double your savings this week. Join the exclusive trading program and receive a registration reward.	Подвойте заощадження цього тижня. Приєднуйтеся до ексклюзивної торгової програми й отримайте нагороду за реєстрацію.
legitimate	finance	I transferred my share of the rent. Let me know when the money arrives.	Переказав свою частину оренди. Напиши, коли гроші надійдуть.
legitimate	finance	The accountant corrected the invoice and sent the updated payment details in our shared folder.	Бухгалтер виправив рахунок і надіслав оновлені реквізити до нашої спільної папки.
spam	urgency	Final reminder: your personal deal expires in an hour. Finish checkout using the private link to secure the discount.	Останнє нагадування: персональна пропозиція закінчується за годину. Завершіть покупку за приватним посиланням, щоб зберегти знижку.
spam	urgency	Your selected customer status will expire today. Confirm participation to retain access to special purchase conditions.	Статус обраного клієнта закінчується сьогодні. Підтвердіть участь, щоб зберегти доступ до особливих умов покупки.
spam	urgency	Only a few promotional activations remain in your area. Reserve yours now and receive an exclusive discount code.	У вашому районі залишилося лише кілька активацій акції. Зарезервуйте свою зараз та отримайте ексклюзивний промокод.
legitimate	urgency	Please confirm our restaurant booking by five. Otherwise they will give the table to someone else.	Підтверди наше бронювання ресторану до п’ятої. Інакше столик віддадуть іншим.
legitimate	urgency	The registration deadline for our internal workshop is tomorrow. The form is in the company portal.	Завтра закінчується реєстрація на наш внутрішній семінар. Форма є на порталі компанії.
legitimate	work	Here is the revised report from our meeting. I corrected the figures and added a summary.	Ось оновлений звіт із нашої зустрічі. Виправив цифри та додав підсумок.
legitimate	work	Please review the document I shared this morning. Your comments on the last section would help.	Переглянь документ, який я надіслав уранці. Потрібні твої коментарі до останнього розділу.
legitimate	work	The training materials we discussed are in the shared folder. Everyone in our team already has access.	Навчальні матеріали, які ми обговорювали, у спільній папці. Усі члени команди вже мають доступ.
legitimate	work	I attached the updated schedule for next week. Let me know if you need to change your shift.	Прикріпив оновлений графік на наступний тиждень. Напиши, якщо треба змінити свою зміну.
legitimate	personal	Are we still meeting at the station on Saturday? I can bring coffee.	Ми все ще зустрічаємося біля вокзалу в суботу? Можу принести каву.
legitimate	personal	Your parcel is at my place. Come by when you have time.	Твоя посилка у мене. Заходь, коли матимеш час.
legitimate	personal	I booked our tickets for tomorrow. Please bring your passport.	Забронював наші квитки на завтра. Візьми, будь ласка, паспорт.
legitimate	personal	The refund for the cancelled trip arrived. I will send your share tonight.	Повернення за скасовану поїздку надійшло. Увечері надішлю твою частину.
spam	job	Work from your phone for just one hour a day and earn thousands. Contact our recruiter to unlock your starter bonus.	Працюйте з телефона лише годину на день та заробляйте тисячі. Зв’яжіться з рекрутером, щоб отримати стартовий бонус.
spam	job	You have been selected for a paid task program. Register your account and start earning immediately without experience.	Вас обрано для програми оплачуваних завдань. Зареєструйте акаунт і почніть заробляти негайно без досвіду.
legitimate	job	Our team is hiring a designer. You asked me about this role last week, so I am sending the description.	Наша команда шукає дизайнера. Ти питав про цю вакансію минулого тижня, тому надсилаю опис.
legitimate	job	Your interview with our engineering team is scheduled for Tuesday at ten, as we agreed by phone.	Співбесіду з нашою технічною командою призначено на вівторок о десятій, як домовилися телефоном.
